"id","user_id","task_id","finished","time_spent","update_time","grade","feedback"
"83","4839","102","1","NULL","2018-10-14 02:29:09","45","Should be more specific on port number in your NAT table rules."
"84","4839","101","1","NULL","2018-10-14 02:29:35","45",""
"85","4827","102","1","NULL","2018-10-14 02:30:58","48","Should be more specific on port number in your NAT table rules."
"86","4764","102","1","NULL","2018-10-14 02:31:55","60",""
"87","4719","101","1","NULL","2018-10-14 02:37:01","0","NULL"
"88","4805","101","1","NULL","2018-10-14 02:38:46","50",""
"89","4817","101","1","NULL","2018-10-14 02:43:41","50",""
"90","4833","101","1","NULL","2018-10-16 14:23:45","50",""
"91","4815","101","1","NULL","2018-10-16 14:34:02","50",""
"92","4815","102","1","NULL","2018-10-16 14:34:15","50",""
"93","4804","101","1","NULL","2018-10-16 14:36:27","50",""
"94","4781","101","1","NULL","2018-10-16 14:38:17","50",""
"95","4781","102","1","NULL","2018-10-16 14:38:30","40","Missing nat rules for 21 and 22"
"96","4832","101","1","NULL","2018-10-16 14:40:55","50",""
"97","4792","101","1","NULL","2018-10-16 14:44:32","50",""
"98","4792","102","1","NULL","2018-10-16 14:44:43","50",""
"99","4774","101","1","NULL","2018-10-16 14:46:45","50",""
"100","4821","101","1","NULL","2018-10-16 14:48:43","45",""
"101","4797","101","1","NULL","2018-10-16 14:51:03","50",""
"102","4797","102","1","NULL","2018-10-16 14:51:17","40","Should be more specific on port number in your NAT table rules."
"103","4836","102","1","NULL","2018-10-16 14:57:20","40","Need to use NAT table for ftp too"
"104","4829","101","1","NULL","2018-10-16 15:04:42","50",""
"105","4787","101","1","NULL","2018-10-16 15:08:51","50",""
"106","4780","102","1","NULL","2018-10-16 15:12:38","40","NULL"
"107","4789","101","1","NULL","2018-10-16 15:14:50","50",""
"108","4813","101","1","NULL","2018-10-16 15:21:32","45","Missing Nslookup result"
"109","4791","101","1","NULL","2018-10-16 22:13:13","40",""
"110","4845","101","1","NULL","2018-10-16 22:15:01","45",""
"111","4845","102","1","NULL","2018-10-16 22:15:01","45","DNS records need to update to hide all 172.16 ips."
"112","4842","101","1","NULL","2018-10-17 15:30:17","50","NULL"
"113","4324","101","1","NULL","2018-10-19 04:46:23","45","Missing Nslookup result in 2.c"
"114","4324","102","1","NULL","2018-10-19 04:46:37","30","Rules looks right, but missing a lot of screenshots"
"115","4844","103","1","NULL","2018-10-24 01:30:29","50",""
"116","4763","102","1","NULL","2018-10-24 14:10:58","40","Ftp also needs to use NAT table"
"117","4836","103","1","NULL","2018-10-24 15:30:19","50",""
"118","4763","103","1","NULL","2018-10-24 15:42:10","50",""
"119","4826","103","1","NULL","2018-10-25 11:07:55","50",""
"120","4695","103","1","NULL","2018-10-25 19:50:50","49","68 udp should not be exposed"
"121","2964","103","1","NULL","2018-10-26 00:16:24","50",""
"122","4782","103","1","NULL","2018-10-26 12:08:20","49","68 and 5353 udp should not be exposed"
"123","4808","103","1","NULL","2018-10-26 12:09:08","50",""
"124","4781","103","1","NULL","2018-10-26 12:31:32","50",""
"125","4833","103","1","NULL","2018-10-26 12:56:38","50",""
"126","4822","103","1","NULL","2018-10-26 13:18:51","50",""
"127","4774","103","1","NULL","2018-10-26 13:30:56","50",""
"128","4805","103","1","NULL","2018-10-26 14:27:24","50",""
"129","4804","103","1","NULL","2018-10-26 14:36:06","50",""
"130","4785","103","1","NULL","2018-10-26 15:51:49","50",""
"131","4784","103","1","NULL","2018-10-26 15:52:35","50","68 and 5353 should be blocked"
"132","4786","103","1","NULL","2018-10-26 15:55:22","50",""
"133","4837","103","1","NULL","2018-10-26 15:58:34","50",""
"134","4799","103","1","NULL","2018-10-26 16:11:15","50",""
"135","4842","103","1","NULL","2018-10-26 16:12:49","50",""
"136","4839","103","1","NULL","2018-10-26 16:27:13","50",""
"137","4780","103","1","NULL","2018-10-26 17:17:25","50",""
"138","4829","103","1","NULL","2018-10-26 17:23:52","50",""
"139","4797","103","1","NULL","2018-10-26 17:56:47","50",""
"140","4845","103","1","NULL","2018-10-26 18:02:35","40","Your 53 21 and 80 port should be open"
"141","4830","103","1","NULL","2018-10-26 18:22:20","40","21, 22, 53, 80 not open"
"142","4262","103","1","NULL","2018-10-26 19:08:12","50",""
"143","4794","103","1","NULL","2018-10-26 19:33:44","50",""
"144","4793","103","1","NULL","2018-10-26 19:48:03","25","You script is right....but you command is totally different in the screenshots...."
"145","4796","103","1","NULL","2018-10-26 19:50:02","50",""
