"id","model_id","model_type","collection_name","name","file_name","mime_type","disk","size","manipulations","custom_properties","order_column","created_at","updated_at"
"39","2243","App\\UserSubtaskSubmission","submissions","nmapScan","nmapScan","text/x-shellscript","ceph-submission","11883","[]","[]","37","2018-10-25 04:31:14","2018-10-25 04:31:14"
"40","2269","App\\UserSubtaskSubmission","submissions","scan","scan.sh","text/x-shellscript","ceph-submission","621","[]","[]","38","2018-10-25 18:03:26","2018-10-25 18:03:26"
"41","2270","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","321","[]","[]","39","2018-10-25 18:07:14","2018-10-25 18:07:14"
"42","2279","App\\UserSubtaskSubmission","submissions","scan","scan.sh","text/x-shellscript","ceph-submission","664","[]","[]","40","2018-10-25 21:51:13","2018-10-25 21:51:13"
"43","2280","App\\UserSubtaskSubmission","submissions","scan","scan.sh","text/x-shellscript","ceph-submission","664","[]","[]","41","2018-10-25 21:52:37","2018-10-25 21:52:37"
"44","2292","App\\UserSubtaskSubmission","submissions","task3Script","task3Script","text/x-shellscript","ceph-submission","1036","[]","[]","42","2018-10-25 22:30:50","2018-10-25 22:30:50"
"45","2293","App\\UserSubtaskSubmission","submissions","readme","readme","text/plain","ceph-submission","322","[]","[]","43","2018-10-25 22:36:46","2018-10-25 22:36:46"
"46","2298","App\\UserSubtaskSubmission","submissions","firewallTest","firewallTest.sh","text/x-shellscript","ceph-submission","663","[]","[]","44","2018-10-26 01:22:46","2018-10-26 01:22:46"
"47","2299","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","960","[]","[]","45","2018-10-26 01:23:15","2018-10-26 01:23:15"
"48","2305","App\\UserSubtaskSubmission","submissions","468_scanner","468_scanner.py","text/plain","ceph-submission","366","[]","[]","46","2018-10-26 02:02:34","2018-10-26 02:02:34"
"49","2307","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","542","[]","[]","47","2018-10-26 02:06:38","2018-10-26 02:06:38"
"50","2308","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","547","[]","[]","48","2018-10-26 02:09:25","2018-10-26 02:09:25"
"51","2309","App\\UserSubtaskSubmission","submissions","nmap_s","nmap_s.sh","text/x-shellscript","ceph-submission","2151","[]","[]","49","2018-10-26 02:49:13","2018-10-26 02:49:13"
"52","2310","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","77","[]","[]","50","2018-10-26 02:50:43","2018-10-26 02:50:43"
"53","2315","App\\UserSubtaskSubmission","submissions","pen_testing","pen_testing","text/x-shellscript","ceph-submission","6457","[]","[]","51","2018-10-26 03:44:24","2018-10-26 03:44:24"
"54","2316","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","556","[]","[]","52","2018-10-26 03:45:20","2018-10-26 03:45:20"
"55","2317","App\\UserSubtaskSubmission","submissions","468_scanner","468_scanner.py","text/plain","ceph-submission","367","[]","[]","53","2018-10-26 04:43:42","2018-10-26 04:43:42"
"56","2329","App\\UserSubtaskSubmission","submissions","468_scanner","468_scanner.py","text/plain","ceph-submission","562","[]","[]","54","2018-10-26 07:05:24","2018-10-26 07:05:24"
"57","2335","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","1782","[]","[]","55","2018-10-26 18:29:14","2018-10-26 18:29:14"
"58","2363","App\\UserSubtaskSubmission","submissions","firewall_testing","firewall_testing.py","text/plain","ceph-submission","641","[]","[]","56","2018-10-26 19:42:19","2018-10-26 19:42:19"
"59","2365","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","106","[]","[]","57","2018-10-26 19:45:13","2018-10-26 19:45:13"
"60","2368","App\\UserSubtaskSubmission","submissions","firewall_testing","firewall_testing.py","text/plain","ceph-submission","640","[]","[]","58","2018-10-26 19:54:34","2018-10-26 19:54:34"
"61","2371","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","145","[]","[]","59","2018-10-26 19:55:52","2018-10-26 19:55:52"
"62","2377","App\\UserSubtaskSubmission","submissions","Script","Script.sh","text/x-shellscript","ceph-submission","2011","[]","[]","60","2018-10-26 20:04:38","2018-10-26 20:04:38"
"63","2378","App\\UserSubtaskSubmission","submissions","Script","Script.sh","text/x-shellscript","ceph-submission","2123","[]","[]","61","2018-10-26 20:07:29","2018-10-26 20:07:29"
"64","2379","App\\UserSubtaskSubmission","submissions","task3client","task3client.sh","text/x-shellscript","ceph-submission","1188","[]","[]","62","2018-10-26 20:08:31","2018-10-26 20:08:31"
"65","2380","App\\UserSubtaskSubmission","submissions","task3server","task3server.sh","text/x-shellscript","ceph-submission","1122","[]","[]","63","2018-10-26 20:09:22","2018-10-26 20:09:22"
"66","2382","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","1831","[]","[]","64","2018-10-26 20:14:47","2018-10-26 20:14:47"
"67","2383","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","1937","[]","[]","65","2018-10-26 20:15:45","2018-10-26 20:15:45"
"68","2394","App\\UserSubtaskSubmission","submissions","","新建文本文档.txt","text/plain","ceph-submission","38","[]","[]","66","2018-10-26 21:08:44","2018-10-26 21:08:44"
"69","2402","App\\UserSubtaskSubmission","submissions","README","README","text/plain","ceph-submission","59","[]","[]","67","2018-10-26 21:27:12","2018-10-26 21:27:12"
"70","2404","App\\UserSubtaskSubmission","submissions","pentest","pentest.sh","text/x-shellscript","ceph-submission","656","[]","[]","68","2018-10-26 21:27:57","2018-10-26 21:27:57"
"71","2409","App\\UserSubtaskSubmission","submissions","firewall_test","firewall_test.py","text/x-python","ceph-submission","830","[]","[]","69","2018-10-26 21:38:47","2018-10-26 21:38:47"
"72","2410","App\\UserSubtaskSubmission","submissions","README","README","text/plain","ceph-submission","690","[]","[]","70","2018-10-26 21:39:05","2018-10-26 21:39:05"
"73","2413","App\\UserSubtaskSubmission","submissions","README","README","text/plain","ceph-submission","690","[]","[]","71","2018-10-26 21:41:01","2018-10-26 21:41:01"
"74","2433","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/rtf","ceph-submission","584","[]","[]","72","2018-10-26 22:26:52","2018-10-26 22:26:52"
"75","2434","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","383","[]","[]","73","2018-10-26 22:32:10","2018-10-26 22:32:10"
"76","2435","App\\UserSubtaskSubmission","submissions","task3bashScript","task3bashScript","text/x-shellscript","ceph-submission","1080","[]","[]","74","2018-10-26 22:42:17","2018-10-26 22:42:17"
"77","2436","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","546","[]","[]","75","2018-10-26 22:43:55","2018-10-26 22:43:55"
"78","2438","App\\UserSubtaskSubmission","submissions","nmap_script","nmap_script.py","text/plain","ceph-submission","1757","[]","[]","76","2018-10-26 22:48:23","2018-10-26 22:48:23"
"79","2439","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","395","[]","[]","77","2018-10-26 22:50:16","2018-10-26 22:50:16"
"80","2440","App\\UserSubtaskSubmission","submissions","task3bashScript","task3bashScript.sh","text/x-shellscript","ceph-submission","1080","[]","[]","78","2018-10-26 22:51:04","2018-10-26 22:51:04"
"81","2441","App\\UserSubtaskSubmission","submissions","Script","Script.sh","text/x-shellscript","ceph-submission","1680","[]","[]","79","2018-10-26 22:51:20","2018-10-26 22:51:20"
"82","2443","App\\UserSubtaskSubmission","submissions","Project2_Phase3_Readme.txt","Project2_Phase3_Readme.txt.txt","text/plain","ceph-submission","406","[]","[]","80","2018-10-26 22:55:13","2018-10-26 22:55:13"
"83","2451","App\\UserSubtaskSubmission","submissions","portscan","portscan.sh","text/x-shellscript","ceph-submission","601","[]","[]","81","2018-10-26 23:04:11","2018-10-26 23:04:11"
"84","2454","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","530","[]","[]","82","2018-10-26 23:10:12","2018-10-26 23:10:12"
"85","2456","App\\UserSubtaskSubmission","submissions","scan","scan.sh","text/plain","ceph-submission","610","[]","[]","83","2018-10-26 23:21:59","2018-10-26 23:21:59"
"86","2457","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","94","[]","[]","84","2018-10-26 23:22:19","2018-10-26 23:22:19"
"87","2458","App\\UserSubtaskSubmission","submissions","script","script.txt","text/x-shellscript","ceph-submission","1061","[]","[]","85","2018-10-26 23:22:47","2018-10-26 23:22:47"
"88","2459","App\\UserSubtaskSubmission","submissions","readMe","readMe.txt","text/plain","ceph-submission","165","[]","[]","86","2018-10-26 23:26:24","2018-10-26 23:26:24"
"89","2466","App\\UserSubtaskSubmission","submissions","firewallTest","firewallTest.sh","text/x-shellscript","ceph-submission","937","[]","[]","87","2018-10-27 00:09:41","2018-10-27 00:09:41"
"90","2467","App\\UserSubtaskSubmission","submissions","Readme","Readme.txt","text/plain","ceph-submission","480","[]","[]","88","2018-10-27 00:16:13","2018-10-27 00:16:13"
"91","2478","App\\UserSubtaskSubmission","submissions","README","README.txt","text/plain","ceph-submission","2394","[]","[]","89","2018-10-27 00:27:14","2018-10-27 00:27:14"
"92","2486","App\\UserSubtaskSubmission","submissions","firewalltest","firewalltest.sh","text/x-shellscript","ceph-submission","912","[]","[]","90","2018-10-27 00:46:11","2018-10-27 00:46:11"
"93","2487","App\\UserSubtaskSubmission","submissions","readme.txt","readme.txt.txt","text/plain","ceph-submission","487","[]","[]","91","2018-10-27 00:50:22","2018-10-27 00:50:22"
"94","2488","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","487","[]","[]","92","2018-10-27 00:56:38","2018-10-27 00:56:38"
"95","2492","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","313","[]","[]","93","2018-10-27 01:01:07","2018-10-27 01:01:07"
"96","2493","App\\UserSubtaskSubmission","submissions","pingsweeper","pingsweeper.txt","text/x-shellscript","ceph-submission","700","[]","[]","94","2018-10-27 01:01:14","2018-10-27 01:01:14"
"97","2494","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","177","[]","[]","95","2018-10-27 01:01:38","2018-10-27 01:01:38"
"98","2495","App\\UserSubtaskSubmission","submissions","script","script","text/x-shellscript","ceph-submission","679","[]","[]","96","2018-10-27 01:02:23","2018-10-27 01:02:23"
